Regla,Muestras,Precisión,Parsimonia,Cobertura,Gini,Sparsidad,Índices Muestras
si failures ≤ 0.50 y reason_reputation ≤ 0.50 y Fedu ≤ 1.50 y goout ≤ 2.50 entonces Aprobado,8,0.62,4,0.02,0.4688,0.25,"[61, 106, 112, 114, 155, 261, 304, 325]"
si failures ≤ 0.50 y reason_reputation ≤ 0.50 y Fedu ≤ 1.50 y goout > 2.50 entonces Reprobado,36,0.78,4,0.09,0.3457,0.25,"[38, 46, 50, 52, 59, 64, 67, 83, 94, 126, 167, 214, 231, 242, 253, 268, 281, 284, 289, 294, 311, 313, 316, 321, 324, 328, 332, 336, 350, 352, 354, 365, 369, 370, 377, 378]"
si failures ≤ 0.50 y reason_reputation ≤ 0.50 y Fedu > 1.50 y absences ≤ 9.50 entonces Aprobado,134,0.66,4,0.35,0.4509,0.25,"[2, 3, 4, 6, 7, 10, 11, 16, 17, 18, 19, 23, 24, 26, 27, 28, 29, 35, 37, 39, 40, 44, 45, 51, 58, 65, 68, 69, 70, 71, 72, 80, 81, 87, 90, 91, 92, 98, 99, 101, 105, 107, 108, 109, 111, 113, 118, 120, 122, 123, 128, 130, 131, 134, 135, 138, 139, 140, 142, 147, 152, 156, 157, 162, 169, 171, 172, 173, 182, 184, 187, 191, 193, 195, 198, 199, 201, 202, 207, 211, 213, 216, 218, 219, 221, 223, 224, 225, 228, 229, 230, 232, 233, 234, 235, 236, 237, 238, 240, 244, 245, 246, 249, 262, 263, 265, 267, 271, 272, 275, 277, 279, 286, 287, 290, 295, 296, 297, 298, 303, 307, 317, 333, 339, 341, 345, 347, 351, 358, 359, 361, 368, 380, 382]"
si failures ≤ 0.50 y reason_reputation ≤ 0.50 y Fedu > 1.50 y absences > 9.50 entonces Reprobado,40,0.62,4,0.1,0.4688,0.25,"[33, 34, 36, 41, 48, 60, 63, 84, 89, 117, 119, 125, 148, 151, 160, 161, 176, 179, 186, 196, 209, 252, 266, 288, 308, 309, 310, 315, 319, 329, 331, 334, 337, 344, 349, 356, 366, 372, 379, 383]"
si failures ≤ 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y studytime ≤ 2.50 entonces Aprobado,33,0.79,4,0.09,0.3343,0.25,"[0, 5, 12, 13, 32, 49, 54, 55, 73, 76, 85, 88, 95, 100, 121, 144, 164, 165, 166, 170, 181, 185, 188, 197, 200, 204, 205, 220, 239, 243, 256, 269, 270]"
si failures ≤ 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y studytime > 2.50 entonces Aprobado,20,1.0,4,0.05,0.0,0.25,"[20, 30, 47, 56, 62, 74, 82, 104, 110, 136, 149, 158, 168, 177, 203, 212, 247, 254, 264, 274]"
si failures ≤ 0.50 y reason_reputation > 0.50 y absences > 13.50 y Fedu ≤ 3.50 entonces Aprobado,5,0.6,4,0.01,0.48,0.25,"[43, 75, 93, 127, 175]"
si failures ≤ 0.50 y reason_reputation > 0.50 y absences > 13.50 y Fedu > 3.50 entonces Reprobado,5,1.0,4,0.01,0.0,0.25,"[42, 53, 280, 292, 320]"
si failures > 0.50 y absences ≤ 1.50 y reason_reputation ≤ 0.50 y goout ≤ 3.50 entonces Reprobado,27,1.0,4,0.07,0.0,0.25,"[14, 66, 102, 194, 251, 255, 259, 276, 278, 282, 283, 285, 299, 302, 312, 314, 323, 326, 327, 335, 338, 346, 348, 357, 362, 363, 371]"
si failures > 0.50 y absences ≤ 1.50 y reason_reputation ≤ 0.50 y goout > 3.50 entonces Reprobado,16,0.88,4,0.04,0.2188,0.25,"[9, 31, 57, 96, 124, 141, 178, 180, 258, 293, 330, 340, 342, 355, 367, 381]"
si failures > 0.50 y absences ≤ 1.50 y reason_reputation > 0.50 entonces Reprobado,6,0.67,3,0.02,0.4444,0.33,"[8, 25, 145, 183, 257, 375]"
si failures > 0.50 y absences > 1.50 y goout ≤ 2.50 y absences ≤ 7.00 entonces Aprobado,5,0.6,4,0.01,0.48,0.25,"[77, 86, 116, 146, 360]"
si failures > 0.50 y absences > 1.50 y goout ≤ 2.50 y absences > 7.00 entonces Aprobado,7,1.0,4,0.02,0.0,0.25,"[1, 21, 103, 143, 226, 227, 250]"
si failures > 0.50 y absences > 1.50 y goout > 2.50 y absences ≤ 12.50 entonces Reprobado,20,0.5,4,0.05,0.5,0.25,"[22, 78, 115, 132, 133, 137, 150, 153, 154, 159, 174, 190, 206, 215, 222, 241, 248, 260, 306, 374]"
si failures > 0.50 y absences > 1.50 y goout > 2.50 y absences > 12.50 entonces Reprobado,22,0.86,4,0.06,0.2355,0.25,"[15, 79, 97, 129, 163, 189, 192, 208, 210, 217, 273, 291, 300, 301, 305, 318, 322, 343, 353, 364, 373, 376]"
